id,round,accuracy,loss
0.1,0,0.1032,2.3087
0.1,1,0.3432,1.8701
0.1,2,0.3791,1.7806
0.1,3,0.3939,1.7335
0.1,4,0.4081,1.6922
0.1,5,0.4187,1.6619
0.1,6,0.4243,1.6389
0.1,7,0.4291,1.6192
0.1,8,0.4361,1.6028
0.1,9,0.4442,1.5884
0.1,10,0.4501,1.5757
0.1,11,0.4541,1.5645
0.1,12,0.4569,1.5544
0.1,13,0.46,1.5456
0.1,14,0.4619,1.5378
0.1,15,0.4639,1.5305
0.01,0,0.1032,2.3087
0.01,1,0.2883,2.0335
0.01,2,0.3145,1.9462
0.01,3,0.3355,1.8907
0.01,4,0.3492,1.8503
0.01,5,0.3605,1.8192
0.01,6,0.3705,1.7941
0.01,7,0.3785,1.7732
0.01,8,0.3852,1.7551
0.01,9,0.3906,1.7392
0.01,10,0.3966,1.725
0.01,11,0.4017,1.7121
0.01,12,0.4066,1.7003
0.01,13,0.4103,1.6894
0.01,14,0.4147,1.6792
0.01,15,0.4185,1.6696
0.001,0,0.1032,2.3087
0.001,1,0.208,2.251
0.001,2,0.2473,2.2087
0.001,3,0.2658,2.1722
0.001,4,0.2758,2.1406
0.001,5,0.2813,2.113
0.001,6,0.2862,2.0889
0.001,7,0.2904,2.0677
0.001,8,0.2936,2.0492
0.001,9,0.2955,2.0327
0.001,10,0.2998,2.018
0.001,11,0.3036,2.0048
0.001,12,0.307,1.9928
0.001,13,0.3117,1.9818
0.001,14,0.3145,1.9717
0.001,15,0.3164,1.9623
