id,round,value
cos_16150336537903023745,11,0.30939
cos_16150336537903023745,12,0.32153
cos_16150336537903023745,13,0.34949
cos_16150336537903023745,14,0.45761
cos_16150336537903023745,15,0.51137
cos_16150336537903023745,16,0.43207
cos_16150336537903023745,17,0.15502
cos_16150336537903023745,18,0.24613
cos_16150336537903023745,19,0.26941
cos_16150336537903023745,20,0.34811
cos_16150336537903023745,21,0.09673
cos_16150336537903023745,22,-0.0051843
cos_16150336537903023745,23,0.41737
cos_16150336537903023745,24,0.39875
cos_16150336537903023745,25,0.49559
cos_16150336537903023745,26,0.55919
cos_16150336537903023745,27,0.62501
cos_16150336537903023745,28,0.61341
cos_16150336537903023745,29,0.60599
cos_16150336537903023745,30,0.51284
cos_17605939146913842569,1,1.0
cos_17605939146913842569,2,0.13813
cos_17605939146913842569,3,0.49476
cos_17605939146913842569,4,0.40283
cos_17605939146913842569,5,0.11217
cos_17605939146913842569,6,0.15819
cos_17605939146913842569,7,0.24311
cos_17605939146913842569,8,0.39731
cos_17605939146913842569,9,0.51254
cos_17605939146913842569,10,0.36322
cos_17605939146913842569,11,0.29461
cos_17605939146913842569,12,0.29372
cos_17605939146913842569,13,0.42125
cos_17605939146913842569,14,0.33313
cos_17605939146913842569,15,0.42078
cos_17605939146913842569,16,0.42746
cos_17605939146913842569,17,0.4526
cos_17605939146913842569,18,0.43445
cos_17605939146913842569,19,0.091081
cos_17605939146913842569,20,0.39162
cos_17605939146913842569,21,0.056534
cos_17605939146913842569,22,-0.042101
cos_17605939146913842569,23,0.28364
cos_17605939146913842569,24,0.48035
cos_17605939146913842569,25,0.53028
cos_17605939146913842569,26,0.68099
cos_17605939146913842569,27,0.55602
cos_17605939146913842569,28,0.65438
cos_17605939146913842569,29,0.65006
cos_17605939146913842569,30,0.54184
cos_2630046458107158911,1,1.0
cos_2630046458107158911,2,0.16618
cos_2630046458107158911,3,0.52393
cos_2630046458107158911,4,0.50156
cos_2630046458107158911,5,0.63405
cos_2630046458107158911,6,0.45747
cos_2630046458107158911,7,0.37759
cos_2630046458107158911,8,0.40808
cos_2630046458107158911,9,0.34326
cos_2630046458107158911,10,0.342
cos_2630046458107158911,11,0.45448
cos_2630046458107158911,12,0.4849
cos_2630046458107158911,13,0.56615
cos_2630046458107158911,14,0.55558
cos_2630046458107158911,15,0.27886
cos_2630046458107158911,16,0.37133
cos_2630046458107158911,17,0.40176
cos_2630046458107158911,18,0.32766
cos_2630046458107158911,19,0.54169
cos_2630046458107158911,20,0.17528
cos_2630046458107158911,21,0.44278
cos_2630046458107158911,22,0.10812
cos_2630046458107158911,23,0.57264
cos_2630046458107158911,24,0.66787
cos_2630046458107158911,25,0.70155
cos_2630046458107158911,26,0.64291
cos_2630046458107158911,27,0.7483
cos_2630046458107158911,28,0.82921
cos_2630046458107158911,29,0.84813
cos_2630046458107158911,30,0.77547
cos_4552385725309000166,1,1.0001
cos_4552385725309000166,2,0.010651
cos_4552385725309000166,3,0.33854
cos_4552385725309000166,4,0.34598
cos_4552385725309000166,5,0.44179
cos_4552385725309000166,6,0.3049
cos_4552385725309000166,7,0.28899
cos_4552385725309000166,8,0.045243
cos_4552385725309000166,9,0.33071
cos_4552385725309000166,10,0.32683
cos_4552385725309000166,11,0.39868
cos_4552385725309000166,12,0.50661
cos_4552385725309000166,13,0.34352
cos_4552385725309000166,14,0.2684
cos_4552385725309000166,15,0.36802
cos_4552385725309000166,16,0.33839
cos_4552385725309000166,17,0.35627
cos_4552385725309000166,18,0.3614
cos_4552385725309000166,19,0.12962
cos_4552385725309000166,20,0.39866
cos_4552385725309000166,21,0.42016
cos_4552385725309000166,22,0.02986
cos_4552385725309000166,23,0.52034
cos_4552385725309000166,24,0.53232
cos_4552385725309000166,25,0.71951
cos_4552385725309000166,26,0.73146
cos_4552385725309000166,27,0.70144
cos_4552385725309000166,28,0.73566
cos_4552385725309000166,29,0.67159
cos_4552385725309000166,30,0.72522
cos_4588506394981575816,1,1.0001
cos_4588506394981575816,2,-0.15797
cos_4588506394981575816,3,0.4919
cos_4588506394981575816,4,0.50206
cos_4588506394981575816,5,0.50515
cos_4588506394981575816,6,0.45455
cos_4588506394981575816,7,0.35118
cos_4588506394981575816,8,0.41922
cos_4588506394981575816,9,0.54217
cos_4588506394981575816,10,0.49602
cos_4588506394981575816,11,0.48613
cos_4588506394981575816,12,0.43471
cos_4588506394981575816,13,0.53705
cos_4588506394981575816,14,0.40528
cos_4588506394981575816,15,0.37978
cos_4588506394981575816,16,0.43727
cos_4588506394981575816,17,0.29676
cos_4588506394981575816,18,0.52956
cos_4588506394981575816,19,0.42678
cos_4588506394981575816,20,0.36316
cos_4588506394981575816,21,-0.039465
cos_4588506394981575816,22,0.035615
cos_4588506394981575816,23,0.40633
cos_4588506394981575816,24,0.39441
cos_4588506394981575816,25,0.45503
cos_4588506394981575816,26,0.53876
cos_4588506394981575816,27,0.61791
cos_4588506394981575816,28,0.50723
cos_4588506394981575816,29,0.54652
cos_4588506394981575816,30,0.62918
cos_6941218949778848317,1,1.0
cos_6941218949778848317,2,-0.18461
cos_6941218949778848317,3,0.6035
cos_6941218949778848317,4,0.47603
cos_6941218949778848317,5,0.37478
cos_6941218949778848317,6,0.45652
cos_6941218949778848317,7,0.4441
cos_6941218949778848317,8,0.10364
cos_6941218949778848317,9,0.34515
cos_6941218949778848317,10,0.39852
cos_6941218949778848317,11,0.51133
cos_6941218949778848317,12,0.44362
cos_6941218949778848317,13,0.47998
cos_6941218949778848317,14,0.23027
cos_6941218949778848317,15,0.29383
cos_6941218949778848317,16,0.38504
cos_6941218949778848317,17,0.3865
cos_6941218949778848317,18,0.2875
cos_6941218949778848317,19,0.20723
cos_6941218949778848317,20,0.23649
cos_6941218949778848317,21,0.24605
cos_6941218949778848317,22,0.046473
cos_6941218949778848317,23,0.61715
cos_6941218949778848317,24,0.63036
cos_6941218949778848317,25,0.78802
cos_6941218949778848317,26,0.7475
cos_6941218949778848317,27,0.81257
cos_6941218949778848317,28,0.75855
cos_6941218949778848317,29,0.74315
cos_6941218949778848317,30,0.6949
