id,round,value
norm_aggregate,1,0.0
norm_aggregate,2,0.10944
norm_aggregate,3,0.068361
norm_aggregate,4,0.035208
norm_aggregate,5,0.029821
norm_aggregate,6,0.025643
norm_aggregate,7,0.024377
norm_aggregate,8,0.021522
norm_aggregate,9,0.021008
norm_aggregate,10,0.017433
norm_aggregate,11,0.016935
norm_aggregate,12,0.015884
norm_aggregate,13,0.016464
norm_aggregate,14,0.015007
norm_aggregate,15,0.014983
norm_aggregate,16,0.013399
norm_aggregate,17,0.013705
norm_aggregate,18,0.014142
norm_aggregate,19,0.016417
norm_aggregate,20,0.013335
norm_aggregate,21,0.14507
norm_aggregate,22,0.11226
norm_aggregate,23,0.068482
norm_aggregate,24,0.042545
norm_aggregate,25,0.031959
norm_aggregate,26,0.032291
norm_aggregate,27,0.027558
norm_aggregate,28,0.023206
norm_aggregate,29,0.024136
norm_aggregate,30,0.023887
norm_11522228026226361751,1,0.050591
norm_11522228026226361751,2,0.14989
norm_11522228026226361751,3,0.076573
norm_11522228026226361751,4,0.027901
norm_11522228026226361751,5,0.049215
norm_11522228026226361751,6,0.033979
norm_11522228026226361751,7,0.027506
norm_11522228026226361751,8,0.026835
norm_11522228026226361751,9,0.033452
norm_11522228026226361751,10,0.025924
norm_11522228026226361751,11,0.024638
norm_11522228026226361751,12,0.021823
norm_11522228026226361751,13,0.028171
norm_11522228026226361751,14,0.024139
norm_11522228026226361751,15,0.021953
norm_11522228026226361751,16,0.024266
norm_11522228026226361751,17,0.022599
norm_11522228026226361751,18,0.020074
norm_11522228026226361751,19,0.027252
norm_11522228026226361751,20,0.029302
norm_11522228026226361751,21,0.30828
norm_11522228026226361751,22,0.27838
norm_11522228026226361751,23,0.18112
norm_11522228026226361751,24,0.17839
norm_11522228026226361751,25,0.12525
norm_11522228026226361751,26,0.19077
norm_11522228026226361751,27,0.16489
norm_11522228026226361751,28,0.16301
norm_11522228026226361751,29,0.15699
norm_11522228026226361751,30,0.13274
norm_12601184442703567977,1,0.03897
norm_12601184442703567977,2,0.089103
norm_12601184442703567977,3,0.086478
norm_12601184442703567977,4,0.048572
norm_12601184442703567977,5,0.04073
norm_12601184442703567977,6,0.029826
norm_12601184442703567977,7,0.028056
norm_12601184442703567977,8,0.02359
norm_12601184442703567977,9,0.02996
norm_12601184442703567977,10,0.029119
norm_12601184442703567977,11,0.023878
norm_12601184442703567977,12,0.027572
norm_12601184442703567977,13,0.028256
norm_12601184442703567977,14,0.020747
norm_12601184442703567977,15,0.020889
norm_12601184442703567977,16,0.020412
norm_12601184442703567977,17,0.018766
norm_12601184442703567977,18,0.01992
norm_12601184442703567977,19,0.030554
norm_12601184442703567977,20,0.027228
norm_12601184442703567977,21,0.016502
norm_12601184442703567977,22,0.096101
norm_12601184442703567977,23,0.11567
norm_12601184442703567977,24,0.10662
norm_12601184442703567977,25,0.13977
norm_12601184442703567977,26,0.10135
norm_12601184442703567977,27,0.13756
norm_12601184442703567977,28,0.1183
norm_12601184442703567977,29,0.12566
norm_12601184442703567977,30,0.12681
norm_15281766516681896907,1,0.042651
norm_15281766516681896907,2,0.11308
norm_15281766516681896907,3,0.064383
norm_15281766516681896907,4,0.033072
norm_15281766516681896907,5,0.032559
norm_15281766516681896907,6,0.030822
norm_15281766516681896907,7,0.044873
norm_15281766516681896907,8,0.025425
norm_15281766516681896907,9,0.024999
norm_15281766516681896907,10,0.027879
norm_15281766516681896907,11,0.022957
norm_15281766516681896907,12,0.020765
norm_15281766516681896907,13,0.028464
norm_15281766516681896907,14,0.028911
norm_15281766516681896907,15,0.023573
norm_15281766516681896907,16,0.024936
norm_15281766516681896907,17,0.022903
norm_15281766516681896907,18,0.022953
norm_15281766516681896907,19,0.020882
norm_15281766516681896907,20,0.025415
norm_15281766516681896907,21,0.28471
norm_15281766516681896907,22,0.22334
norm_15281766516681896907,23,0.16379
norm_15281766516681896907,24,0.13956
norm_15281766516681896907,25,0.13659
norm_15281766516681896907,26,0.096327
norm_15281766516681896907,27,0.10761
norm_15281766516681896907,28,0.10718
norm_15281766516681896907,29,0.12438
norm_15281766516681896907,30,0.11777
norm_16089326558467179539,1,0.043126
norm_16089326558467179539,2,0.082952
norm_16089326558467179539,3,0.041065
norm_16089326558467179539,4,0.044894
norm_16089326558467179539,5,0.027925
norm_16089326558467179539,6,0.032691
norm_16089326558467179539,7,0.034588
norm_16089326558467179539,8,0.031016
norm_16089326558467179539,9,0.02773
norm_16089326558467179539,10,0.024008
norm_16089326558467179539,11,0.02206
norm_16089326558467179539,12,0.0209
norm_16089326558467179539,13,0.022055
norm_16089326558467179539,14,0.023151
norm_16089326558467179539,15,0.01902
norm_16089326558467179539,16,0.028683
norm_16089326558467179539,17,0.020442
norm_16089326558467179539,18,0.018893
norm_16089326558467179539,19,0.018922
norm_16089326558467179539,20,0.020016
norm_16089326558467179539,21,0.031204
