id,round,value
cos_17486856831171361977,25,0.0024031
cos_17486856831171361977,26,0.0023559
cos_17486856831171361977,27,-0.00080183
cos_17486856831171361977,28,-0.00076123
cos_17486856831171361977,29,-0.0010322
cos_17486856831171361977,30,0.0029159
cos_17960766058508661573,1,1.0
cos_17960766058508661573,2,-0.0011338
cos_17960766058508661573,3,0.00017212
cos_17960766058508661573,4,0.00019322
cos_17960766058508661573,5,-0.00079212
cos_17960766058508661573,6,7.6126e-05
cos_17960766058508661573,7,0.00039603
cos_17960766058508661573,8,-0.00103
cos_17960766058508661573,9,-0.0028048
cos_17960766058508661573,10,-7.9395e-05
cos_17960766058508661573,11,0.0021782
cos_17960766058508661573,12,-0.0024169
cos_17960766058508661573,13,-0.00099082
cos_17960766058508661573,14,-0.0018345
cos_17960766058508661573,15,0.0008222
cos_17960766058508661573,16,0.0014844
cos_17960766058508661573,17,0.0017432
cos_17960766058508661573,18,-0.0023909
cos_17960766058508661573,19,0.00053322
cos_17960766058508661573,20,-0.00030686
cos_17960766058508661573,21,0.0004467
cos_17960766058508661573,22,0.0022564
cos_17960766058508661573,23,0.00024505
cos_17960766058508661573,24,0.00079734
cos_17960766058508661573,25,0.00082445
cos_17960766058508661573,26,0.00030987
cos_17960766058508661573,27,-0.00061743
cos_17960766058508661573,28,-9.0464e-06
cos_17960766058508661573,29,0.002187
cos_17960766058508661573,30,-0.00015241
cos_4063565972801326645,1,1.0
cos_4063565972801326645,2,-6.0906e-05
cos_4063565972801326645,3,-8.7069e-05
cos_4063565972801326645,4,0.00058297
cos_4063565972801326645,5,-0.0010452
cos_4063565972801326645,6,0.001664
cos_4063565972801326645,7,-0.0022439
cos_4063565972801326645,8,0.0024479
cos_4063565972801326645,9,-0.00077889
cos_4063565972801326645,10,-0.00015949
cos_4063565972801326645,11,-0.00068127
cos_4063565972801326645,12,-0.0011247
cos_4063565972801326645,13,-0.0016336
cos_4063565972801326645,14,0.00012991
cos_4063565972801326645,15,-0.0011665
cos_4063565972801326645,16,0.00080943
cos_4063565972801326645,17,-0.00077009
cos_4063565972801326645,18,0.00086815
cos_4063565972801326645,19,-0.0030857
cos_4063565972801326645,20,-0.0013375
cos_4063565972801326645,21,-3.2138e-05
cos_4063565972801326645,22,-0.00012832
cos_4063565972801326645,23,-0.00031556
cos_4063565972801326645,24,-0.00026221
cos_4063565972801326645,25,0.00026199
cos_4063565972801326645,26,8.138e-05
cos_4063565972801326645,27,-0.00067174
cos_4063565972801326645,28,0.00079802
cos_4063565972801326645,29,0.001367
cos_4063565972801326645,30,0.00024371
cos_6114800220184159855,1,1.0
cos_6114800220184159855,2,-0.0017204
cos_6114800220184159855,3,0.00045688
cos_6114800220184159855,4,0.00020084
cos_6114800220184159855,5,-0.00067951
cos_6114800220184159855,6,0.00056587
cos_6114800220184159855,7,0.00021906
cos_6114800220184159855,8,-0.0011128
cos_6114800220184159855,9,0.0027174
cos_6114800220184159855,10,0.00050361
cos_6114800220184159855,11,-0.0028232
cos_6114800220184159855,12,-0.00074279
cos_6114800220184159855,13,-3.7148e-06
cos_6114800220184159855,14,-0.0022136
cos_6114800220184159855,15,-0.0028648
cos_6114800220184159855,16,-0.00359
cos_6114800220184159855,17,-0.0014191
cos_6114800220184159855,18,0.0019039
cos_6114800220184159855,19,-0.0011735
cos_6114800220184159855,20,9.455e-05
cos_6114800220184159855,21,0.00063922
cos_6114800220184159855,22,-0.0003549
cos_6114800220184159855,23,0.00098625
cos_6114800220184159855,24,0.0016542
cos_6114800220184159855,25,-0.00022614
cos_6114800220184159855,26,0.0016179
cos_6114800220184159855,27,0.00015649
cos_6114800220184159855,28,0.00016272
cos_6114800220184159855,29,0.00024852
cos_6114800220184159855,30,-0.0011953
cos_6784761972597182786,1,1.0
cos_6784761972597182786,2,-0.00029412
cos_6784761972597182786,3,-0.00062786
cos_6784761972597182786,4,-0.00040655
cos_6784761972597182786,5,0.00085355
cos_6784761972597182786,6,6.0172e-05
cos_6784761972597182786,7,0.00072738
cos_6784761972597182786,8,7.0362e-05
cos_6784761972597182786,9,0.00049769
cos_6784761972597182786,10,-0.0012186
cos_6784761972597182786,11,0.0010279
cos_6784761972597182786,12,-0.00047698
cos_6784761972597182786,13,-0.00053791
cos_6784761972597182786,14,0.0011009
cos_6784761972597182786,15,-0.00071091
cos_6784761972597182786,16,-0.0010508
cos_6784761972597182786,17,0.0012366
cos_6784761972597182786,18,-0.00096409
cos_6784761972597182786,19,-0.00062281
cos_6784761972597182786,20,-0.00029052
cos_6784761972597182786,21,-0.0012777
cos_6784761972597182786,22,7.1553e-05
cos_6784761972597182786,23,0.00030557
cos_6784761972597182786,24,0.0011843
cos_6784761972597182786,25,1.1049e-05
cos_6784761972597182786,26,-0.0012974
cos_6784761972597182786,27,0.0012957
cos_6784761972597182786,28,-0.0017218
cos_6784761972597182786,29,0.0025148
cos_6784761972597182786,30,0.0019001
cos_7404983973232320390,1,1.0
cos_7404983973232320390,2,4.1281e-05
cos_7404983973232320390,3,0.0015797
cos_7404983973232320390,4,0.00022687
cos_7404983973232320390,5,0.0024086
cos_7404983973232320390,6,-0.00066798
cos_7404983973232320390,7,0.00034502
cos_7404983973232320390,8,0.0010411
cos_7404983973232320390,9,-0.0023119
cos_7404983973232320390,10,0.0015145
cos_7404983973232320390,11,-0.00063698
cos_7404983973232320390,12,-0.00017592
cos_7404983973232320390,13,-0.0006423
cos_7404983973232320390,14,0.0016428
cos_7404983973232320390,15,0.0015511
cos_7404983973232320390,16,-0.00021044
cos_7404983973232320390,17,-0.0010573
cos_7404983973232320390,18,0.000721
cos_7404983973232320390,19,-0.0016846
cos_7404983973232320390,20,-0.00050325
cos_7404983973232320390,21,0.0006222
cos_7404983973232320390,22,0.00026618
cos_7404983973232320390,23,0.00055594
cos_7404983973232320390,24,0.0022555
cos_7404983973232320390,25,0.001058
cos_7404983973232320390,26,0.00090381
cos_7404983973232320390,27,7.8848e-05
cos_7404983973232320390,28,-0.0010299
cos_7404983973232320390,29,-0.00029891
cos_7404983973232320390,30,0.00076604
